ticketNumber,Date,tripId,ticketStatus,tripName,tripAbbreviation,taxAbbreviation,startDate,tripCategoryId,GrossTicket,Commission,NetTicket,invoiceId,invoiceStatus,groupId,Sales Office Invoice,gender,dateOfBirth,countryOfOriginId,countryName
4486-UK5,2019-09-09,4486,2,French Canada,3DF,FC3,2019-09-13,1,579,0,579,112877,2,NULL, Online,Female,1969-09-07,167,Peru
4526-JZH,2019-09-09,4526,2,Niagara Falls At Night,NFNT,HST,2019-09-15,1,90,0,90,112885,2,NULL, Online,Female,2000-11-10,81,Germany
3755-VWY,2019-09-09,3755,2,Tobermory Overnight Camping (BOAT INCLUDED),TOB,HST,2019-09-14,1,249,0,249,112890,2,NULL, Online,Male,1996-11-07,189,Singapore
3755-YD7,2019-09-09,3755,2,Tobermory Overnight Camping (BOAT INCLUDED),TOB,HST,2019-09-14,1,249,0,249,112891,2,NULL, Online,Male,1995-02-05,189,Singapore
3755-QBF,2019-09-10,3755,2,Tobermory Overnight Camping (BOAT INCLUDED),TOB,HST,2019-09-14,1,249,0,249,112892,2,NULL, Online,Male,1988-11-21,164,Panama
4453-QB4,2019-09-10,4453,2,Algonquin Park Day Trip,AP1,HST,2019-09-28,1,99,0,99,112924,2,NULL, Online,Female,1994-02-12,38,Canada
4453-96F,2019-09-10,4453,2,Algonquin Park Day Trip,AP1,HST,2019-09-28,1,99,0,99,112925,2,NULL, Online,Female,1992-09-29,38,Canada
4525-B7C,2019-09-10,4525,2,Niagara Falls - Saturday,NF,HST,2019-09-14,1,60,0,60,112938,2,NULL, Online,Male,1993-04-14,38,Canada
4525-5XQ,2019-09-10,4525,2,Niagara Falls - Saturday,NF,HST,2019-09-14,1,60,0,60,112939,2,NULL, Online,Female,1991-09-17,113,"Korea (South), Republic of"
4452-78Z,2019-09-10,4452,2,Algonquin Park Day Trip,AP1,HST,2019-09-21,1,99,0,99,112969,2,NULL, Online,Male,1995-03-16,204,Switzerland
4526-4WK,2019-09-11,4526,2,Niagara Falls At Night,NFNT,HST,2019-09-15,1,90,0,90,113010,2,NULL, Online,Female,1992-10-02,81,Germany
4526-FBK,2019-09-11,4526,2,Niagara Falls At Night,NFNT,HST,2019-09-15,1,90,0,90,113011,2,NULL, Online,Male,1993-10-08,81,Germany
4537-R5T,2019-09-12,4537,2,Niagara Falls  Wine Region- Sunday,NF,HST,2019-10-06,1,60,0,60,113037,2,NULL, Online,Female,1977-07-02,30,Brazil
4452-UGM,2019-09-12,4452,2,Algonquin Park Day Trip,AP1,HST,2019-09-21,1,99,0,99,113045,2,NULL, Online,Male,1998-04-22,14,Austria
4526-VZ9,2019-09-12,4526,2,Niagara Falls At Night,NFNT,HST,2019-09-15,1,90,0,90,113114,2,NULL, Online,Female,1997-05-02,107,Japan
4526-72D,2019-09-12,4526,2,Niagara Falls At Night,NFNT,HST,2019-09-15,1,90,0,90,113115,2,NULL, Online,Female,1967-11-09,107,Japan
4527-Y33,2019-09-12,4527,2, Sunset Boat Cruise Party,BC,HST,2019-09-18,3,25,0,25,113116,2,NULL, Online,Male,1998-03-31,171,Portugal
4527-WJD,2019-09-12,4527,2, Sunset Boat Cruise Party,BC,HST,2019-09-18,3,25,0,25,113117,2,NULL, Online,Female,1998-09-07,195,Spain
4452-ZG5,2019-09-12,4452,2,Algonquin Park Day Trip,AP1,HST,2019-09-21,1,89,0,89,113120,2,NULL, Online,Female,1999-05-04,107,Japan
4525-BAL,2019-09-13,4525,2,Niagara Falls - Saturday,NF,HST,2019-09-14,1,60,0,60,113121,2,NULL, Online,Female,1992-04-27,138,Mexico
4525-YDL,2019-09-13,4525,2,Niagara Falls - Saturday,NF,HST,2019-09-14,1,60,0,60,113122,2,NULL, Online,Male,1991-08-14,138,Mexico
4452-WBH,2019-09-13,4452,2,Algonquin Park Day Trip,AP1,HST,2019-09-21,1,99,0,99,113124,2,NULL, Online,Male,1997-09-30,62,Ecuador
4526-VRP,2019-09-13,4526,2,Niagara Falls At Night,NFNT,HST,2019-09-15,1,60,0,60,113204,2,NULL, Online,Male,1995-06-10,107,Japan
